date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:43:27	373278/373278	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:27%20GMT	https://zh-tw.facebook.com/directory/places/	D:/WEB/FB/zh-tw.facebook.com/directory/places/index.html	(from https://zh-tw.facebook.com/)
02:43:27	373413/373413	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:27%20GMT	https://zh-tw.facebook.com/directory/celebrities/	D:/WEB/FB/zh-tw.facebook.com/directory/celebrities/index.html	(from https://zh-tw.facebook.com/)
02:43:27	373383/373383	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:28%20GMT	https://zh-tw.facebook.com/directory/marketplace/	D:/WEB/FB/zh-tw.facebook.com/directory/marketplace/index.html	(from https://zh-tw.facebook.com/)
02:43:28	373233/373233	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:28%20GMT	https://zh-tw.facebook.com/directory/groups/	D:/WEB/FB/zh-tw.facebook.com/directory/groups/index.html	(from https://zh-tw.facebook.com/)
02:43:28	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:28%20GMT	https://zh-tw.facebook.com/recipes/	D:/WEB/FB/zh-tw.facebook.com/recipes/index.html	(from https://zh-tw.facebook.com/)
02:43:28	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:29%20GMT	https://zh-tw.facebook.com/sport/	D:/WEB/FB/zh-tw.facebook.com/sport/index.html	(from https://zh-tw.facebook.com/)
02:43:28	373229/373229	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:29%20GMT	https://zh-tw.facebook.com/look/directory/	D:/WEB/FB/zh-tw.facebook.com/look/directory/index.html	(from https://zh-tw.facebook.com/)
02:43:29	583968/583968	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:29%20GMT	https://zh-tw.facebook.com/local/lists/245019872666104/	D:/WEB/FB/zh-tw.facebook.com/local/lists/245019872666104/index.html	(from https://zh-tw.facebook.com/)
02:43:29	1493803/1493803	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:29%20GMT	https://zh-tw.facebook.com/facebook	D:/WEB/FB/zh-tw.facebook.com/facebook.html	(from https://zh-tw.facebook.com/)
02:43:30	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:30%20GMT	https://zh-tw.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&extra_1=auto	D:/WEB/FB/zh-tw.facebook.com/ad_campaign/landing85ec.php	(from https://zh-tw.facebook.com/)
02:43:30	415739/415739	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:31%20GMT	https://zh-tw.facebook.com/privacy/explanation	D:/WEB/FB/zh-tw.facebook.com/privacy/explanation.html	(from https://zh-tw.facebook.com/)
02:43:30	450397/450397	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:31%20GMT	https://zh-tw.facebook.com/pages/create/?ref_type=sitefooter	D:/WEB/FB/zh-tw.facebook.com/pages/create/indexebd6.html	(from https://zh-tw.facebook.com/)
02:43:31	386090/386090	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:31%20GMT	https://zh-tw.facebook.com/policies?ref=pf	D:/WEB/FB/zh-tw.facebook.com/policies30c2.html	(from https://zh-tw.facebook.com/)
02:43:31	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:32%20GMT	https://zh-tw.facebook.com/settings	D:/WEB/FB/zh-tw.facebook.com/settings	(from https://zh-tw.facebook.com/)
02:43:31	429296/429296	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:32%20GMT	https://zh-tw.facebook.com/careers/?ref=pf	D:/WEB/FB/zh-tw.facebook.com/careers/index30c2.html	(from https://zh-tw.facebook.com/)
02:43:33	375157/375157	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20May%202018%2018:43:33%20GMT	https://zh-tw.facebook.com/allactivity?privacy_source=activity_log_top_menu	D:/WEB/FB/zh-tw.facebook.com/allactivity99e1	(from https://zh-tw.facebook.com/)
02:43:33	381614/381614	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20May%202018%2018:43:32%20GMT	https://zh-tw.facebook.com/help/?ref=pf	D:/WEB/FB/zh-tw.facebook.com/help/index30c2.html	(from https://zh-tw.facebook.com/)
02:43:34	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:34%20GMT	https://facebook.com/security/hsts-pixel.gif?c=3.2.5	D:/WEB/FB/facebook.com/security/hsts-pixel.1088fa.delayed	(from https://zh-tw.facebook.com/)
02:43:34	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:34%20GMT	https://fbcdn.net/security/hsts-pixel.gif?c=2.5	D:/WEB/FB/fbcdn.net/security/hsts-pixel.116ede.delayed	(from https://zh-tw.facebook.com/)
02:43:34	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:35%20GMT	https://fbsbx.com/security/hsts-pixel.gif?c=5	D:/WEB/FB/fbsbx.com/security/hsts-pixel.126882.delayed	(from https://zh-tw.facebook.com/)
02:43:34	43/43	---M-Z	200	added ('OK')	image/gif	date:Tue,%2001%20May%202018%2018:43:35%20GMT	https://connect.facebook.net/security/hsts-pixel.gif	D:/WEB/FB/connect.facebook.net/security/hsts-pixel.gif	(from https://zh-tw.facebook.com/)
02:43:35	376456/376456	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20May%202018%2018:43:36%20GMT	https://zh-tw.facebook.com/SggS	D:/WEB/FB/zh-tw.facebook.com/SggS	(from https://zh-tw.facebook.com/)
02:43:40	376119/376119	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20May%202018%2018:43:41%20GMT	https://zh-tw.facebook.com/24JS	D:/WEB/FB/zh-tw.facebook.com/24JS	(from https://zh-tw.facebook.com/)
